Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_20_1_seed9_StmtReplace_601_5.patch,9,79,1
Chart,1,chart1_20_1_seed9_StmtReplace_601_5.patch,10,77,1
Chart,1,chart1_20_2_seed12_StmtReplace_602_2.patch,1,88,1
Chart,1,chart1_20_2_seed12_StmtReplace_602_2.patch,2,85,0
Chart,1,chart1_20_2_seed12_StmtReplace_602_2.patch,3,73,0
Chart,1,chart1_20_2_seed12_StmtReplace_602_2.patch,4,82,1
Chart,1,chart1_20_2_seed12_StmtReplace_602_2.patch,5,76,0
Chart,1,chart1_20_2_seed12_StmtReplace_602_2.patch,6,83,1
Chart,1,chart1_20_2_seed12_StmtReplace_602_2.patch,7,82,0
Chart,1,chart1_20_2_seed12_StmtReplace_602_2.patch,8,69,1
Chart,1,chart1_20_2_seed12_StmtReplace_602_2.patch,9,79,1
Chart,1,chart1_20_2_seed12_StmtReplace_602_2.patch,10,77,1
Chart,1,chart1_20_2_seed15_StmtReplace_603_5.patch,1,88,1
Chart,1,chart1_20_2_seed15_StmtReplace_603_5.patch,2,85,0
Chart,1,chart1_20_2_seed15_StmtReplace_603_5.patch,3,73,0
Chart,1,chart1_20_2_seed15_StmtReplace_603_5.patch,4,82,1
Chart,1,chart1_20_2_seed15_StmtReplace_603_5.patch,5,76,0
Chart,1,chart1_20_2_seed15_StmtReplace_603_5.patch,6,83,1
Chart,1,chart1_20_2_seed15_StmtReplace_603_5.patch,7,82,1
Chart,1,chart1_20_2_seed15_StmtReplace_603_5.patch,8,69,1
Chart,1,chart1_20_2_seed15_StmtReplace_603_5.patch,9,79,1
Chart,1,chart1_20_2_seed15_StmtReplace_603_5.patch,10,77,1
Chart,1,chart1_20_2_seed1_StmtReplace_602_154.patch,1,88,1
Chart,1,chart1_20_2_seed1_StmtReplace_602_154.patch,2,85,0
Chart,1,chart1_20_2_seed1_StmtReplace_602_154.patch,3,73,0
Chart,1,chart1_20_2_seed1_StmtReplace_602_154.patch,4,82,1
Chart,1,chart1_20_2_seed1_StmtReplace_602_154.patch,5,76,0
Chart,1,chart1_20_2_seed1_StmtReplace_602_154.patch,6,83,1
Chart,1,chart1_20_2_seed1_StmtReplace_602_154.patch,7,82,0
Chart,1,chart1_20_2_seed1_StmtReplace_602_154.patch,8,69,1
Chart,1,chart1_20_2_seed1_StmtReplace_602_154.patch,9,79,1
