Project,Bug,TSSeed,NumberOfTests,NumberOfFailingTests
time,time3,6,79,0
time,time3,7,83,0
time,time3,8,80,0
time,time3,9,83,0
time,time3,10,80,0
time,time9,1,39,1
time,time9,2,47,1
time,time9,3,43,1
time,time9,4,48,1
time,time9,5,43,1
time,time9,6,45,1
time,time9,7,43,1
time,time9,8,44,1
time,time9,9,48,1
time,time9,10,42,1
